Exp Strategy,Dataset,Task,Test Condition,Model,Bal Acc,Macro F1,ROC-AUC
1_Estrategia_A,HUST_Gearbox,Diagnosis,Cond_35_3,TABNET (TL),1.0,1.0,1.0
1_Estrategia_A,HUST_Gearbox,Diagnosis,Cond_35_4,MLP (TL),0.6,0.5079365079365079,0.9333333333333332
1_Estrategia_A,HUST_Gearbox,Diagnosis,Cond_35_4,TABNET (TL),0.7000000000000001,0.6238244514106583,0.6883333333333334
1_Estrategia_A,HUST_Gearbox,Diagnosis,Cond_40_0,MLP (TL),0.8666666666666667,0.8611111111111112,1.0
1_Estrategia_A,HUST_Gearbox,Diagnosis,Cond_40_0,TABNET (TL),0.7333333333333334,0.6825396825396827,1.0
1_Estrategia_A,HUST_Gearbox,Diagnosis,Cond_40_1,MLP (TL),1.0,1.0,1.0
1_Estrategia_A,HUST_Gearbox,Diagnosis,Cond_40_1,TABNET (TL),0.6666666666666666,0.5555555555555555,1.0
1_Estrategia_A,HUST_Gearbox,Diagnosis,Cond_40_2,MLP (TL),1.0,1.0,1.0
1_Estrategia_A,HUST_Gearbox,Diagnosis,Cond_40_2,TABNET (TL),0.6,0.5046296296296297,0.9783333333333334
1_Estrategia_A,HUST_Gearbox,Diagnosis,Cond_40_3,MLP (TL),1.0,1.0,1.0
