Model,Bal Acc,F1 (Anomaly),ROC-AUC,Dataset,Test Condition
AE (Percentil 99),1.0,1.0,1.0,UOEMD,Load_Loaded_Speed_Dec_60_to_30Hz
AE (Mediana + 3*MAD),0.8,0.9722222222222222,1.0,UOEMD,Load_Loaded_Speed_Dec_60_to_30Hz
Isolation Forest,0.9142857142857144,0.9558823529411765,0.9842857142857142,UOEMD,Load_Loaded_Speed_Inc_15_to_45Hz
One-Class SVM,0.85,0.9790209790209791,1.0,UOEMD,Load_Loaded_Speed_Inc_15_to_45Hz
AE (Média + 2σ),0.95,0.9929078014184397,1.0,UOEMD,Load_Loaded_Speed_Inc_15_to_45Hz
AE (Percentil 99),0.9928571428571429,0.9928057553956835,1.0,UOEMD,Load_Loaded_Speed_Inc_15_to_45Hz
AE (Mediana + 3*MAD),0.85,0.9790209790209791,1.0,UOEMD,Load_Loaded_Speed_Inc_15_to_45Hz
Isolation Forest,0.9,0.9859154929577465,1.0,UOEMD,Load_Loaded_Speed_Inc_30_to_60Hz
One-Class SVM,0.65,0.9523809523809523,1.0,UOEMD,Load_Loaded_Speed_Inc_30_to_60Hz
AE (Média + 2σ),0.9,0.9859154929577465,1.0,UOEMD,Load_Loaded_Speed_Inc_30_to_60Hz
AE (Percentil 99),1.0,1.0,1.0,UOEMD,Load_Loaded_Speed_Inc_30_to_60Hz
AE (Mediana + 3*MAD),0.85,0.9790209790209791,1.0,UOEMD,Load_Loaded_Speed_Inc_30_to_60Hz
Isolation Forest,0.6714285714285715,0.6078431372549019,0.6614285714285715,UOEMD,Load_No_Load_Speed_15Hz
One-Class SVM,0.5,0.9333333333333333,0.9028571428571428,UOEMD,Load_No_Load_Speed_15Hz
AE (Média + 2σ),0.7785714285714285,0.9022556390977443,0.8785714285714286,UOEMD,Load_No_Load_Speed_15Hz
AE (Percentil 99),0.75,0.7433628318584071,0.8785714285714286,UOEMD,Load_No_Load_Speed_15Hz
AE (Mediana + 3*MAD),0.6,0.9459459459459459,0.8785714285714286,UOEMD,Load_No_Load_Speed_15Hz
Isolation Forest,0.9357142857142857,0.9312977099236641,1.0,UOEMD,Load_No_Load_Speed_30Hz
One-Class SVM,1.0,1.0,1.0,UOEMD,Load_No_Load_Speed_30Hz
AE (Média + 2σ),0.9714285714285714,0.9705882352941176,1.0,UOEMD,Load_No_Load_Speed_30Hz
AE (Percentil 99),0.9428571428571428,0.9393939393939394,1.0,UOEMD,Load_No_Load_Speed_30Hz
AE (Mediana + 3*MAD),1.0,1.0,1.0,UOEMD,Load_No_Load_Speed_30Hz
Isolation Forest,1.0,1.0,1.0,UOEMD,Load_No_Load_Speed_45Hz
One-Class SVM,0.65,0.9523809523809523,1.0,UOEMD,Load_No_Load_Speed_45Hz
AE (Média + 2σ),1.0,1.0,1.0,UOEMD,Load_No_Load_Speed_45Hz
AE (Percentil 99),1.0,1.0,1.0,UOEMD,Load_No_Load_Speed_45Hz
